Year,GLODAP Expocode,GO-SHIP Expocode
1988,32OC19880723,32OC202_1
1989,318M19890123,318MSAVE5
1989,74DI19890511,74DI19890511
1989,74DI19890612,74DI19890612
1989,74DI19890716,74DI19890716
1989,64TR19890731,64TR19890731
1991,33MW19910711,
1993,33MW19930704,3175MB93
1998,74DI19980423,74DI233_1
2003,33RO20030604,33RO200306_01	
2005,33RO20050111,33RO200501
2006,06MT20060712,
2009,06MT20091026,
2009,29AH20090725,
2011,74DI20110715,74DI20110715 
2013,33RO20130803,33RO20130803 
2014,33RO20131223,33RO20131223
